1722841310.371899 client started (17267): version 3.2a, socket /tmp/tmux-1000/default, protocol 8
1722841310.371944 on Linux 6.9.3-76060903-generic #202405300957~1721174657~22.04~abb7c06 SMP PREEMPT_DYNAMIC Wed J
1722841310.371954 using libevent 2.1.12-stable (poll); ncurses 6.3
1722841310.371976 flags are 0x18010000
1722841310.371981 socket is /tmp/tmux-1000/default
1722841310.371995 trying connect
1722841310.372094 add peer 0x5996c9092840: 6 ((nil))
1722841310.372359 sending message 100 to peer 0x5996c9092840 (4 bytes)
1722841310.372363 sending message 111 to peer 0x5996c9092840 (8 bytes)
1722841310.372366 sending message 101 to peer 0x5996c9092840 (12 bytes)
1722841310.372369 sending message 109 to peer 0x5996c9092840 (4 bytes)
1722841310.372371 sending message 102 to peer 0x5996c9092840 (11 bytes)
1722841310.372373 sending message 108 to peer 0x5996c9092840 (27 bytes)
1722841310.372376 sending message 112 to peer 0x5996c9092840 (70 bytes)
1722841310.372378 sending message 112 to peer 0x5996c9092840 (5 bytes)
1722841310.372381 sending message 112 to peer 0x5996c9092840 (6 bytes)
1722841310.372383 sending message 112 to peer 0x5996c9092840 (6 bytes)
1722841310.372386 sending message 112 to peer 0x5996c9092840 (10 bytes)
1722841310.372388 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372391 sending message 112 to peer 0x5996c9092840 (14 bytes)
1722841310.372393 sending message 112 to peer 0x5996c9092840 (19 bytes)
1722841310.372396 sending message 112 to peer 0x5996c9092840 (11 bytes)
1722841310.372398 sending message 112 to peer 0x5996c9092840 (21 bytes)
1722841310.372400 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372403 sending message 112 to peer 0x5996c9092840 (7 bytes)
1722841310.372405 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372407 sending message 112 to peer 0x5996c9092840 (7 bytes)
1722841310.372410 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372412 sending message 112 to peer 0x5996c9092840 (9 bytes)
1722841310.372415 sending message 112 to peer 0x5996c9092840 (21 bytes)
1722841310.372417 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372420 sending message 112 to peer 0x5996c9092840 (9 bytes)
1722841310.372422 sending message 112 to peer 0x5996c9092840 (16 bytes)
1722841310.372425 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372427 sending message 112 to peer 0x5996c9092840 (9 bytes)
1722841310.372430 sending message 112 to peer 0x5996c9092840 (9 bytes)
1722841310.372432 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372434 sending message 112 to peer 0x5996c9092840 (8 bytes)
1722841310.372437 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372439 sending message 112 to peer 0x5996c9092840 (7 bytes)
1722841310.372441 sending message 112 to peer 0x5996c9092840 (7 bytes)
1722841310.372444 sending message 112 to peer 0x5996c9092840 (9 bytes)
1722841310.372446 sending message 112 to peer 0x5996c9092840 (6 bytes)
1722841310.372449 sending message 112 to peer 0x5996c9092840 (9 bytes)
1722841310.372451 sending message 112 to peer 0x5996c9092840 (15 bytes)
1722841310.372453 sending message 112 to peer 0x5996c9092840 (13 bytes)
1722841310.372456 sending message 112 to peer 0x5996c9092840 (12 bytes)
1722841310.372458 sending message 112 to peer 0x5996c9092840 (8 bytes)
